ablation,window_samples,arch,augmentation,split,mae_mps,rmse_mps,r2
augmentation_on_off,20,cnn,so3,val,6.688521487275118,8.499490992778695,-1.2481186465166232
augmentation_on_off,20,cnn,so3,test,6.8982580280438635,9.191180076188342,-1.0026546870623165
augmentation_on_off,20,tcn,so3,val,6.902364107421469,8.630107036234985,-1.317745551048882
augmentation_on_off,20,tcn,so3,test,7.546320218286774,9.775335688515014,-1.265306033387045
augmentation_on_off,40,cnn,so3,val,5.738996239677474,7.324453716930921,-0.6699219625849839
augmentation_on_off,40,cnn,so3,test,6.990925485831157,8.974122981441475,-0.9089522590432926
augmentation_on_off,40,tcn,so3,val,6.375805970311084,8.004721128152767,-0.9945186941243085
augmentation_on_off,40,tcn,so3,test,6.468011557454345,8.571285247757132,-0.7414176042760383
augmentation_on_off,20,cnn,none,val,4.6918291414270135,6.281578122812473,-0.2279224018374595
augmentation_on_off,20,cnn,none,test,5.295352272141569,7.421879070151726,-0.3058439130013668
augmentation_on_off,20,tcn,none,val,5.389168072382391,7.044524369600486,-0.5443180357687134
augmentation_on_off,20,tcn,none,test,5.566448967843116,7.737074960280473,-0.4191134964499772
augmentation_on_off,40,cnn,none,val,4.469046222279367,5.956915764551312,-0.1045582307075621
augmentation_on_off,40,cnn,none,test,5.587437455354333,7.615460158979585,-0.37468544509425916
augmentation_on_off,40,tcn,none,val,4.36956850637356,5.7880756002926,-0.04283137341584986
augmentation_on_off,40,tcn,none,test,4.72737256667994,6.701651258912358,-0.06457112437078205
