window_samples,window_s,model,split,stride,n,mae_mps,rmse_mps,r2,mae_kmh,rmse_kmh
20,2.0,constant_mean,train,5,61055,7.67934357520526,9.053442085015574,0.0,27.645636870738937,32.59239150605607
20,2.0,constant_mean,val,1,105676,9.01652670254739,10.382135090398856,-2.3543373875805793,32.4594961291706,37.375686325435886
20,2.0,constant_mean,test,1,301580,10.390562262161358,11.586601088497344,-2.1825529019761123,37.40602414378089,41.71176391859044
20,2.0,ridge_features,train,5,61055,5.91520866549088,7.058775465951616,0.392101209063366,21.29475119576717,25.411591677425818
20,2.0,ridge_features,val,1,105676,5.176564358333792,6.411504580630868,-0.27924375516063793,18.635631690001652,23.081416490271124
20,2.0,ridge_features,test,1,301580,5.594972007336951,6.8530209155429755,-0.11333954706722782,20.141899226413024,24.670875295954712
20,2.0,ridge_features_so3aug,train,5,61055,6.099632749972816,7.241310479475716,0.3602550269369059,21.95867789990214,26.06871772611258
20,2.0,ridge_features_so3aug,val,1,105676,6.106755358589684,7.120522257454605,-0.5778186617890184,21.984319290922862,25.63388012683658
20,2.0,ridge_features_so3aug,test,1,301580,6.60841691563354,7.6243320826723435,-0.37805683477321694,23.790300896280744,27.447595497620437
20,2.0,physics_integration,train,5,61055,14.11489791420712,16.41609970002338,-2.2878538676349014,50.81363249114563,59.097958920084174
20,2.0,physics_integration,val,1,105676,7.370764189640929,9.331026372656444,-1.7095191548923823,26.534751082707345,33.5916949415632
20,2.0,physics_integration,test,1,301580,6.693326684376551,8.999420503474012,-0.9199619032221058,24.095976063755582,32.397913812506445
40,4.0,constant_mean,train,5,60987,7.675810543071631,9.050632920614355,0.0,27.63291795505787,32.58227851421168
40,4.0,constant_mean,val,1,105636,9.019216493059025,10.384602422020398,-2.356799845993611,32.46917937501249,37.38456871927343
40,4.0,constant_mean,test,1,301400,10.39357856142085,11.589629455388701,-2.1838319412555456,37.41688282111506,41.72266603939933
40,4.0,ridge_features,train,5,60987,5.553500259340894,6.690666618232181,0.45351168667506503,19.99260093362722,24.08639982563585
40,4.0,ridge_features,val,1,105636,4.860041340756614,6.110698658822882,-0.1623246108853671,17.49614882672381,21.998515171762374
40,4.0,ridge_features,test,1,301400,5.0527740906672856,6.382934501379915,0.03427870184777515,18.18998672640223,22.978564204967693
40,4.0,ridge_features_so3aug,train,5,60987,5.81811980334184,6.994557042177304,0.4027412366853579,20.945231292030627,25.180405351838296
40,4.0,ridge_features_so3aug,val,1,105636,5.48833177286053,6.570765061658786,-0.34393287251012716,19.75799438229791,23.654754221971633
40,4.0,ridge_features_so3aug,test,1,301400,6.3328542622737185,7.447513356477578,-0.31472104599858963,22.798275344185388,26.81104808331928
40,4.0,physics_integration,train,5,60987,14.117428787317227,16.417264282907823,-2.2903619703966567,50.82274363434202,59.10215141846816
40,4.0,physics_integration,val,1,105636,7.373183247991084,9.332741374917637,-1.7112162600294272,26.5434596927679,33.597868949703496
40,4.0,physics_integration,test,1,301400,6.695212427794605,9.00138252380128,-0.920567031514514,24.10276474006058,32.40497708568461
