window_samples,window_s,model,split,n_parameters,best_epoch,train_time_s,n,mae_mps,rmse_mps,r2,mae_kmh,rmse_kmh
20,2.0,cnn,train,27233,22,105.50471544265747,61055,3.378256532678568,4.79233324655104,0.7198010104458243,12.161723517642844,17.252399687583747
20,2.0,cnn,val,27233,22,105.50471544265747,105676,6.688521487275118,8.499490992778695,-1.2481186465166232,24.078677354190425,30.598167574003302
20,2.0,cnn,test,27233,22,105.50471544265747,301580,6.8982580280438635,9.191180076188342,-1.0026546870623165,24.833728900957908,33.08824827427803
20,2.0,tcn,train,22881,25,140.3874728679657,61055,3.486999480833373,4.889981549048396,0.7082660411991136,12.553198131000144,17.603933576574224
20,2.0,tcn,val,22881,25,140.3874728679657,105676,6.902364107421469,8.630107036234985,-1.317745551048882,24.84851078671729,31.06838533044595
20,2.0,tcn,test,22881,25,140.3874728679657,301580,7.546320218286774,9.775335688515014,-1.265306033387045,27.166752785832387,35.191208478654055
40,4.0,cnn,train,27233,5,53.74699687957764,60987,3.6916429234420765,4.9644990793642,0.6991202447887697,13.289914524391476,17.87219668571112
40,4.0,cnn,val,27233,5,53.74699687957764,105636,5.738996239677474,7.324453716930921,-0.6699219625849839,20.660386462838904,26.368033380951317
40,4.0,cnn,test,27233,5,53.74699687957764,301400,6.990925485831157,8.974122981441475,-0.9089522590432926,25.16733174899217,32.30684273318931
40,4.0,tcn,train,22881,7,71.45853567123413,60987,3.5811394981691107,4.996753592520338,0.6951978929697151,12.8921021934088,17.988312933073217
40,4.0,tcn,val,22881,7,71.45853567123413,105636,6.375805970311084,8.004721128152767,-0.9945186941243085,22.952901493119903,28.81699606134996
40,4.0,tcn,test,22881,7,71.45853567123413,301400,6.468011557454345,8.571285247757132,-0.7414176042760383,23.28484160683564,30.856626891925675
